,Laptop,ItexvsCypress,IS_BT_Acquisition,Grocery,thompson,Car,EnergySmall_A,Average
Boulware-Boulware,95.500%,98.667%,91.833%,95.667%,72.833%,67.833%,59.833%,83.167%
Boulware-Conceder,100.000%,100.000%,100.000%,100.000%,100.000%,69.500%,63.500%,90.429%
Boulware-Linear,99.500%,99.667%,100.000%,100.000%,95.833%,63.000%,64.000%,88.857%
Boulware-Atlas3,99.500%,99.000%,100.000%,100.000%,94.833%,66.000%,65.333%,89.238%
Conceder-Conceder,100.000%,100.000%,100.000%,100.000%,100.000%,99.000%,98.667%,99.667%
Conceder-Linear,100.000%,100.000%,100.000%,100.000%,100.000%,98.833%,99.167%,99.714%
Conceder-Atlas3,100.000%,100.000%,100.000%,100.000%,100.000%,99.000%,96.667%,99.381%
Linear-Linear,100.000%,100.000%,100.000%,100.000%,100.000%,99.000%,91.000%,98.571%
Linear-Atlas3,100.000%,100.000%,100.000%,100.000%,100.000%,99.667%,92.167%,98.833%
Atlas3-Atlas3,100.000%,100.000%,100.000%,100.000%,100.000%,92.500%,85.667%,96.881%
Average,99.450%,99.733%,99.183%,99.567%,96.350%,85.433%,81.600%,94.474%
